onet_soc,title,R1,R2,R3,employment,union
17-2171.00,Petroleum Engineers,-0.459453,1.53346,-1.13735,18970,0.0773458
17-2199.03,"Energy Engineers, Except Wind and Solar",-0.328684,1.48782,-0.953681,150750,0.0545838
17-2199.05,Mechatronics Engineers,-0.208398,1.10742,-1.84328,150750,0.0545838
17-2199.06,Microsystems Engineers,-0.0839697,1.37152,-1.81053,150750,0.0545838
17-2199.07,Photonics Engineers,-0.300483,1.17669,-2.30789,150750,0.0545838
17-2199.08,Robotics Engineers,0.708134,1.98461,-1.73377,150750,0.0545838
17-2199.09,Nanosystems Engineers,0.0516683,1.63562,-1.67526,150750,0.0545838
17-2199.10,Wind Energy Engineers,-0.659574,0.851326,-1.64959,150750,0.0545838
17-2199.11,Solar Energy Systems Engineers,0.384235,1.0711,-0.950634,150750,0.0545838
17-3011.00,Architectural and Civil Drafters,-0.56808,0.367297,-1.48033,109550,0
17-3012.00,Electrical and Electronics Drafters,-0.579126,0.312569,-1.4876,20020,0.0852053
17-3013.00,Mechanical Drafters,-0.675732,0.162061,-2.04804,39900,0.0852053
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,0.688839,0.985427,-1.3429,9060,0.121807
17-3022.00,Civil Engineering Technologists and Technicians,-0.0787455,0.758284,-1.09447,62130,0.121807
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,0.411933,0.614574,-1.13646,92710,0.157045
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,1.21861,0.742513,-1.30847,14680,0.121807
17-3024.01,Robotics Technicians,1.2495,1.2041,-1.70576,14680,0.121807
17-3025.00,Environmental Engineering Technologists and Technicians,0.536292,0.588534,-0.816751,12500,0.121807
17-3026.00,Industrial Engineering Technologists and Technicians,0.348206,0.74876,-1.20652,73410,0.121807
17-3026.01,Nanotechnology Engineering Technologists and Technicians,0.594983,1.29463,-1.31992,73410,0.121807
17-3027.00,Mechanical Engineering Technologists and Technicians,0.958513,1.09653,-1.0754,37450,0.121807
17-3027.01,Automotive Engineering Technicians,0.96525,0.700304,-1.09424,37450,0.121807
17-3029.01,Non-Destructive Testing Specialists,1.38838,1.08143,-0.364042,64410,0.121807
17-3029.08,Photonics Technicians,0.475242,0.2659,-1.5526,64410,0.121807
17-3031.00,Surveying and Mapping Technicians,-0.0794894,-0.201632,-0.886385,56720,0.0854253
19-1011.00,Animal Scientists,-0.0974228,1.31441,-0.225572,2470,0.0569397
19-1012.00,Food Scientists and Technologists,0.159811,1.2582,-0.569193,14370,0.0569397
19-1013.00,Soil and Plant Scientists,0.18916,1.32008,-0.566065,16600,0.0569397
19-1021.00,Biochemists and Biophysicists,0.00611023,1.86624,-1.40779,34520,0.131426
19-1022.00,Microbiologists,0.0758232,1.12738,-0.589352,19760,0.131426
19-1023.00,Zoologists and Wildlife Biologists,0.247535,1.10341,0.188159,16920,0.131426
19-1029.01,Bioinformatics Scientists,-0.892925,1.35579,-1.34074,59710,0.131426
19-1029.02,Molecular and Cellular Biologists,-0.195392,1.50245,-0.959793,59710,0.131426
19-1029.03,Geneticists,-0.734225,1.22439,-0.956739,59710,0.131426
19-1029.04,Biologists,0.0430169,1.41513,-0.478836,59710,0.131426
19-1031.00,Conservation Scientists,0.238448,0.907989,-0.222847,25590,0.0160997
19-1031.02,Range Managers,0.351784,0.914634,0.358733,25590,0.0160997
19-1031.03,Park Naturalists,-0.0096318,0.318188,1.17556,25590,0.0160997
19-1032.00,Foresters,0.625783,1.21429,0.0501428,9650,0.0160997
19-1041.00,Epidemiologists,-1.11929,1.31385,-0.172247,11460,0.0651333
19-1042.00,"Medical Scientists, Except Epidemiologists",-0.535826,1.16212,-0.995421,156300,0.0651333
19-2011.00,Astronomers,-1.00339,1.1592,-1.8206,1560,0.0874208
19-2012.00,Physicists,-0.912727,1.58042,-1.95934,21340,0.0874208
19-2021.00,Atmospheric and Space Scientists,-1.0906,0.822472,-1.1345,8780,0.289379
19-2031.00,Chemists,0.0162411,1.05595,-1.31559,83250,0.0688171
19-2032.00,Materials Scientists,-0.329731,1.13992,-1.67961,8330,0.0688171
19-2041.00,"Environmental Scientists and Specialists, Including Health",-0.393398,1.09438,-0.602853,84930,0.189168
19-2041.01,Climate Change Policy Analysts,-1.4494,0.559975,-0.896315,84930,0.189168
19-2041.02,Environmental Restoration Planners,-0.103455,1.25498,-0.323589,84930,0.189168
19-2041.03,Industrial Ecologists,-1.10503,0.758279,-1.51125,84930,0.189168
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",-0.213773,1.05144,-0.79315,22510,0.0774064
19-2043.00,Hydrologists,-0.171198,1.09859,-1.1272,5720,0.0774064
19-2099.01,Remote Sensing Scientists and Technologists,-0.682346,1.38243,-1.63343,22580,0.100161
19-3011.00,Economists,-1.75978,0.496016,-1.12716,15880,0.0347895
19-3011.01,Environmental Economists,-1.83998,0.347377,-1.70729,15880,0.0347895
19-3022.00,Survey Researchers,-1.39032,0.944336,-0.60825,7720,0.112736
19-3032.00,Industrial-Organizational Psychologists,-1.33598,1.29393,0.22353,1050,0.0881719
19-3033.00,Clinical and Counseling Psychologists,-1.40098,0.359974,1.13632,72190,0
19-3034.00,School Psychologists,-1.41211,0.178095,0.707787,63830,0.481292
19-3039.02,Neuropsychologists,-1.03017,0.89966,0.557358,17790,0.0881719
19-3039.03,Clinical Neuropsychologists,-1.01183,0.812803,0.912266,17790,0.0881719
19-3041.00,Sociologists,-1.6598,0.333306,0.0254149,2950,0.112736
19-3051.00,Urban and Regional Planners,-1.16721,0.880056,0.146586,43040,0.288646
19-3091.00,Anthropologists and Archeologists,-0.934276,0.610394,0.219972,8070,0.112736
19-3092.00,Geographers,-1.25505,0.482186,-0.786458,1380,0.112736
19-3093.00,Historians,-1.3834,-0.213945,-0.0537708,3140,0.112736
19-3094.00,Political Scientists,-1.75882,0.252001,-0.188677,5950,0.112736
19-3099.01,Transportation Planners,-1.02314,1.10132,-0.583359,36970,0.112736
19-4012.00,Agricultural Technicians,0.808121,-0.16414,-0.563337,14340,0
